a 啊 唉 哎
aa 阿 啊 吖 嗄 腌 锕
aaaa 啊啊 啊啊啊
aaba 阿爸
dome 多么
domg 多梦
domi 多米
domj 多慢
domk 多名 夺命
domm 多面
domo 多万 多么
domu 夺目
domw 多美
don 多年
dong 多能
donj 多难
donm 多年
dop 裰
dopm 多篇
dopy 裰
doq 多情
doqi 多起 多妻
doqk 多情
doql 多强
doqm 多钱
doqr 夺权
doqu 夺取 夺去 多去
dor 多人
dorf 多人
dorh 躲让
dori 多日
doru 堕入
dorz 剁肉
doso 哆嗦
dosv 剁碎 多岁
dot 垛 埵
dotc 多套
dotd 堕胎 多台 多肽
doth 多糖
doti 埵 多提
dotk 多听
dotm 垛 多天
dotn 多条
doty 㙍
dotz 多头
dou 躲 饳
doua 多杀
douc 多少
doui 多事 多时 多是 掇拾 饳
douj 躲闪
douk 夺帅
doul 多爽
doum 躲
douo 多说 多数
douu 多数
douv 多睡
douz 舵手 多收
dov 舵
dovb 舵
dovd 躲债
dove 躲着
dovg 多挣
dovh 多长 多张
dovi 多汁 多只 多指
dovj 夺占
dovo 躲着
dovs 多种 多钟 多重
dow 多问 亸
dowf 多问
dowj 多晚 多玩
dowl 亸
doww 夺位 多位 多维 多为
dox 惰 多
doxb 多心
doxk 惰性
doxl 多想 多项
doxo 惰
doxp 多谢 多些 多写
doxr 多选
doxx 夺下 多
doy 多于 剟
doyb 多音
doyd 剟
doye 多页 多喝
doyh 多样
doyi 多疑 朵颐 多以 多亿 多食 多义
doyj 多言
doyr 多元 多远
doys 多用
doyt 多月 多说
doyu 多余 多雨 多于
doyy 多云 驮运
doyz 多有
doz 跺 踱
dozd 躲在 多在 多灾
doze 多则
dozh 躲藏
dozi 多姿
dozm 跺
dozo 多做
dozr 多赚
dozv 多嘴
dozy 踱
dozz 夺走
dp 跌 爹 碟 蝶 迭 谍 叠 佚 垤 堞 喋 牒 瓞 耋 蹀 鲽 咥 昳 楪 绖
dpa 鲽
dpam 鲽
dpb 爹
dpbc 谍报
dpbp 颠扑不破
dpbx 爹
dpcq 斗破苍穹
dpcv 叠翠
dpd 跌倒
dpda 跌打 多普达
dpdc 跌倒 跌到
dpdd 迭代
dpde 跌得
dpdh 跌宕 大排档
dpdi 爹地
dpdp 爹爹
dpdw 跌得
dpfa 蝶阀
dpfh 叠放
dpfu 跌幅
dpg 瓞
dpgu 瓞 大盘股
dphc 叠好
dpi 蝶
dpig 叠成
dpim 蝶
dpj 跌价
dpji 碟机 大盘鸡 单片机
dpjn 跌跤
dpjp 跌价
dpju 电瓶车
dpjx 叠加
dpk 喋 咥
dpke 打扑克
dpkk 短平快
dpkm 喋
dpkt 咥
dpl 耋
dple 跌了
dpll 颠沛流离 大批量
dplm 蝶恋
dplo 跌落
dplt 耋
dplw 多普勒
dpm 大屏幕 楪
dpma 爹妈
dpmk 佚名
dpmm 楪
dpmu 大屏幕
dpnl 爹娘
dpo 昳
dpop 䏲
dpou 昳
dpp 牒
dppd 大品牌
dppm 碟片 牒
dppo 跌破
dpqi 叠起
dpqu 跌去
dpr 佚
dpru 跌入 佚
dps 跌死 绖
dpsi 跌死
dpst 绖
dpsv 跌碎
dpt 垤 堞
dpti 打喷嚏
dptk 跌停
dptm 堞
dptt 垤
dpu 碟
dpud 打破砂锅问到底 打破沙锅问到底
dpuh 跌伤
dpui 跌势
dpum 碟
dpvh 叠嶂 跌涨
dpvi 跌至
dpvy 独排众议
dpw 肚皮舞
dpwu 肚皮舞 蝶舞
dpx 地平线
dpxc 东拼西凑
dpxd 东跑西颠
dpxj 独辟蹊径
dpxm 地平线
dpxt 喋血
dpxu 短篇小说
dpy 叠 谍
dpyb 叠印
dpyg 得便宜卖乖
dpyi 蝶衣
dpyj 跌破眼镜
dpyk 谍影
dpym 谍
dpyq 叠
dpys 蝶泳
dpyv 淡泊以明志
dpyy 叠韵
dpz 迭 跌 蹀
dpzi 碟子 叠字
dpzm 蹀
dpzu 跌 迭
dq 丢 铥
dqb 刀枪不入
dqbc 丢包
dqbr 刀枪不入
dqbz 底气不足
dqc 大气层
dqcg 大气层
dqci 第七次
dqcy 地球村
dqd 丢掉
dqdc 丢到 多渠道
dqdl 大起大落 大权独揽
dqdn 丢掉
dqdq 丢丢
dqer 笛卡尔
dqfg 大前锋 杜琪峰
dqfj 盗窃犯
dqgw 丢给
dqh 电气化
dqhi 荡气回肠
dqhx 电气化
dqiz 丢丑
dqj 铥
dqjd 当且仅当
dqjj 刀枪剑戟
dqjp 第七届
dqjs 铥
dql 躲起来
dqld 躲起来 动起来
dqle 丢了
dqlm 丢脸
dqln 丢了
dqmq 打情骂俏
dqnw 短期内
dqp 丢
dqpb 大气磅礴
dqpl 大权旁落
dqpm 单枪匹马
dqps 丢
dqq 丢弃
dqqi 丢弃 读卡器
dqqm 丢钱
dqr 丢人
dqrc 的确如此
dqrf 丢人 地球人
dqrk 刀枪入库
dqrv 大巧若拙
dqsi 道琼斯
dqsz 得其所哉
dqtm 大前天
dqtn 第七条
dqu 丢失
dqui 丢失 大趋势
dquj 大千世界
dquz 底气十足
dqv 当权者
dqve 当权者
dqvh 第七章
dqw 敌强我弱
dqwg 但求无过
dqwi 大器晚成
dqwr 大气污染
dqx 地区性
dqxk 地区性
dqxx 丢下
dqy 大气压
dqya 大气压
dqye 大企业
dqyi 地球仪
dqz 兜圈子
dqzc 大清早
dqzi 兜圈子
dqzw 大权在握
dr 段 端 短 锻 断 缎 椴 煅 簖 塅 瑖 耑
dran 断案
drb 短板
drbg 大人不记小人过
drbh 当然不会
drbi 断臂 断壁
drbj 短板
drbl 打人不打脸
drbo 短波
drbr 当仁不让
drbu 当然不是
drbw 断臂 断背
drc 短促
drcd 端菜
drcg 断层
drci 断词
drcu 短促 短粗
drd 断点
drda 锻打 短打
drdc 短刀
drdd 断代 缎带
drdh 断档
drdi 短的 短笛 端的
drdk 断定
drdm 断电 断点 端点
drdn 断掉
drdr 短短 断断 端端
drdy 大仁大义
dre 耑
dree 耑
drfa 短发 大润发
drfh 大染坊
drg 断根
drgd 端盖
drgf 断根
drgh 洞若观火
drgo 断过
drgs 短工
drgy 短棍
drgz 断句 短句
drh 煅
drhc 短号
drho 断货
drhu 断乎
drhy 断魂 煅
drhz 断后
dri 短处
dria 端茶
drig 短程
drih 断肠
dril 单人床
dris 断种
driu 短处 断除 端出
driv 淡然处之 断炊
drj 锻
drjg 端人家碗，受人家管
drjm 短见 锻件 短简 短剑
drjn 断交
drjp 端接
drjt 断绝
drju 短句 短剧
drjw 待人接物
drjy 锻
drk 断开
drkd 断开
drkm 遁入空门
drkr 短款
drku 短裤
drky 当然可以
drkz 端口 断口
drl 端
drle 断了 端
drli 断离 端丽
drll 断粮 大容量
drlm 锻炼
drln 断了
drlo 段落
drlp 断裂
drlq 断流
drlu 短路 断路
drm 断 椴
drma 断码
drmc 短毛
drmj 呆若木鸡 断
drmk 短命
drmm 断面 端面
drmu 锻模 端木
drmy 椴
drn 断奶
drnd 断奶
drni 端倪
drnm 多如牛毛
drp 短篇 段
drpc 短跑
drpk 短评
drpm 短篇 断片 短片
drpy 段
drq 短期
drqi 短期 电容器 电热器 断气 短气 端起
drql 短枪
drqm 短浅
drqn 断桥
drqq 断球
drqt 短缺
drqy 短裙
drr 断然
drrj 断然
drrn 度日如年
drrr 得饶人处且饶人
drrs 短绒
drru 断乳
drs 缎
drsa 夺人所爱
drsh 夺人所好
drss 断送
drsy 缎
drt 电热毯 塅
drtj 电热毯
drtm 大热天
drtp 锻铁
drtt 动如脱兔
drtu 短途
drtv 短腿
drty 塅
dru 短
drua 短
druc 煅烧
drug 代人受过
druh 端上
drui 短视 短时 短诗
druq 电热水器
druv 断水
druz 短寿
drv 簖
drve 端着 断折
drvg 端正
drvh 短长 段长
drvi 断肢 断指 端直
drvj 簖
drvl 端庄
drvm 达人知命
drvo 端着
drvs 段中
drw 大人物 瑖
drwa 短袜
drwc 荡然无存
drwf 短文
drwh 断网
drwu 端午 大人物 断无
drww 段位
drwy 瑖
drx 短线
drxb 短信
drxi 短息
drxl 端详 断想
drxm 断线 断弦 短线 端线
drxn 短小
drxp 动人心魄
drxq 短袖
drxu 断续
drxx 动人心弦
drxy 丢人现眼 短讯
dry 短语
drya 锻压 断崖
dryd 低人一等
drye 断喝
dryh 端阳
dryj 断言
dryl 大人有大量
dryu 短语 断语 段誉
dryx 淡然一笑
dryz 端由
drz 短暂
drzc 锻造
drzi 段子 端子 缎子
drzj 短暂
drzo 端坐
ds 动 冻 东 冬 董 懂 栋 侗 恫 洞 垌 咚 岽 峒 氡 胨 胴 硐 鸫 烔
dsa 东
dsad 东
dsan 东岸 东安
dsb 第三遍
dsbb 动宾
dsbh 东邦
dsbi 动笔
dsbj 第三版
dsbk 动兵
dsbm 东边
dsbu 东部 第三步 第三部
dsbw 东北
dsbx 单丝不成线
dsc 董
dsci 动词 第三次 第四次
dscu 动粗
dscv 董
dscy 东村
dsd 洞 冻 鸫
dsdc 东道 动刀
dsdd 冻 东大 第三大 第三代 第四大 第四代
dsde 懂得
dsdh 动荡
dsdi 懂的
dsdj 动弹
dsdk 洞
dsdn 鸫
dsdr 东端
dsds 东东 颠三倒四 动动 洞洞 咚咚 冬冬
dsdu 东渡
dsdw 懂得 冻得
dse 峒 动 岽
dsed 岽
dsek 峒
dsel 动
dsf 洞房
dsfg 东风
dsfh 东方 洞房 第三方 冬防
dsfu 洞府
dsfw 东非
dsg 第三个
dsge 第三个 第四个
dsgj 动感
dsgl 东光
dsgo 东郭 动过
dsgr 东莞 冬灌
dsgs 动工 东宫
dsgu 冬菇
dsgx 冬瓜
dsh 动画 烔
dshd 东海 冻害
dshe 恫吓
dshh 懂行 东航
dshj 东汉 冬寒
dshk 烔
dsho 动火
dshu 东湖
dshx 动画 东华 电算化
dsi 洞察
dsia 洞察
dsie 动车 洞彻
dsig 东城
dsij 动产
dsil 冻疮
dsir 洞穿 东川
dsis 第三种
dsiu 大扫除
dsiy 冬春
dsj 动机
dsjb 东进 东晋
dsji 冬季 动机 第三季 第三集 第四季 第四集
dsjk 动静 东京 东经 冬景
dsjl 冻僵 东江
dsjm 洞见
dsjn 东郊 动脚
dsjp 冻结 东街 董洁 第三节 第三届 第四节 第四届 冬节
dsju 动车
dsjx 东家
dsk 咚
dskd 洞开 咚
dske 迪斯科
dsku 洞窟
dskz 洞口 东口 动口
dsl 懂了
dslb 东临
dsle 懂了
dsli 动力 东里 洞里
dslk 东陵
dsll 栋梁 动量
dsln 懂了
dslp 冻裂
dslq 东流
dslr 动乱
dsls 丢三落四
dslu 东路
dsly 第三轮
dslz 东楼
dsm 栋
dsma 懂吗
dsmd 动脉 冬麦 栋
dsmf 东门
dsmg 东盟
dsmi 董秘
dsmj 动漫
dsmk 第三名
dsmm 冬眠 东面
dsmo 动脉
dsmw 冬梅
dsn 东南
dsnc 动脑
dsng 动能
dsni 迪斯尼
dsnj 东南
dsnr 爹死娘嫁人，各人顾各人
dsnu 动怒
dsnw 洞内
dso 胴 胨
dsod 胨
dsok 胴
dsou 东欧
dspg 东鹏
dspi 第三批
dspo 东坡
dsq 氡
dsqd 氡
dsqi 动气 第三期
dsqk 动情 冬青
dsqm 动迁
dsqr 东泉 冬泉
dsqu 东区
dsr 侗
dsrf 动人 第三人
dsri 冬日
dsrk 侗
dsrr 东软
dsrs 动容
dss 冻死
dssi 冻死 东四
dssy 冬笋
dst 垌
dsta 东塔
dstd 动态
dsti 胴体
dstj 动弹
dstk 动听 洞庭 垌
dstm 冬天 洞天 第三天
dstn 第三条 第四条
dstu 冻土 动土
dsu 硐
dsuf 动身
dsug 东升 东胜
dsuh 冻伤
dsui 懂事 董事 东市 东施 第三十
dsuj 东山
dsuk 硐
dsuz 动手
dsv 第三者
dsvd 东侧
dsve 动辄 第三者
dsvg 东征
dsvh 第三章 第四章
dsvi 冬至 东芝 东至
dsvj 东站
dsvl 冬装
dsvo 董卓
dsvs 洞中
dsvz 东周
dsw 冬
dswd 冬
dswh 动网
dswu 动物 东吴 动武
dsww 东魏
dsx 懂 恫
dsxb 动心 东信
dsxi 东西 洞悉
dsxk 恫
dsxl 动向 东向 东乡
dsxm 东线 冬闲
dsxn 洞箫
dsxs 低三下四
dsxt 洞穴 冬雪
dsxv 懂
dsxx 冬夏 恫吓
dsxy 冬训
dsy 动员
dsya 东亚
dsyb 动因
dsyc 动摇
dsye 冬夜
dsyh 东阳 东洋
dsyi 动易 动议 冬衣
dsyj 洞眼
dsyk 东瀛 东营
dsyr 动员
dsys 动用 冬泳
dsyt 冬月
dsyu 冬雨 冻雨
dsyy 冬运
dsz 动作
dszh 冬藏
dszo 动作
dszu 侗族
dszv 动嘴
dt 代替
dtb 跌停板
dtbd 动弹不得
dtbh 当头棒喝
dtbj 低头不见抬头见 跌停板 登坛拜将
dtbu 大踏步
dtby 低头不语
dtce 地图册
dtd 呆头呆脑
dtdh 得天独厚
dtdn 呆头呆脑
dtf 洞天福地
dtfd 洞天福地
dtfy 党同伐异
dtgv 大庭广众
dth 洞庭湖
dthu 洞庭湖
dthy 点头哈腰 打铁还需本身硬
dtij 点铁成金
dtir 打铁趁热
dtiu 点头称是
dtl 到头来
dtld 顶天立地 到头来
dtlu 对他来说
dtlv 底特律
dtly 大讨论
dtmf 但他们
dtq 大提琴
dtqb 大提琴
dtql 挡土墙
dtqt 但他却
dtqx 答题卡
dtrf 带头人
dtru 登堂入室
dtt 断头台
dttd 断头台
dttg 打退堂鼓
dttp 大头贴
dttu 道听途说
dttx 刀头舔血
dtty 道听途说
dtu 大体上
dtua 大屠杀
dtue 地头蛇
dtuh 大体上
dtui 但同时
dtus 顶头上司
dtv 打头阵
dtvf 打头阵
dtvj 地铁站
dtx 独特性
dtxd 大体相当
dtxi 对台戏
dtxk 独特性
dtxm 东涂西抹
dtxy 大同小异 大头小尾 打铁先得自身硬
dtxz 大题小作 大题小做
dty 等同于
dtyb 当头一棒
dtyh 大太阳
dtyi 地头蛇
dtyr 大团圆
dtyt 对她说 对他说
dtyu 等同于
dtzy 当替罪羊
du 读 都 督 毒 犊 独 堵 睹 赌 杜 镀 肚 度 渡 妒 芏 嘟 渎 椟 牍 蠹 笃 髑 黩 厾 姤 阇
dua 蠹
duai 独爱 蠹
duan 毒案
dub 多少遍
duba 独霸 毒霸
dubc 读报 都市报
dubd 独白
dubf 读本 赌本
dubh 杜邦
dubi 杜比 大手笔
dubj 督办
dubl 滴水不漏
dubm 多少遍
dubo 赌博 读博
dubr 对事不对人
dubt 大事不糊涂 第十八条
dubu 独步
dubw 独臂
duc 多少次 芏
ducb 得失参半
ducc 毒草 渡槽
ducd 独裁
ducg 镀层
duci 毒刺 多少次 第十次
duco 读错
duct 芏
ducu 督促
dud 渡 渎
duda 毒打
dudc 独到 督导 读到
dudd 渎 大时代 独大 掉书袋
dudf 大是大非
dudh 独挡
dudj 动手动脚 大手大脚
dudk 笃定
dudl 大树底下好乘凉
dudm 丁是丁，卯是卯 丁是丁卯是卯
dudp 读碟
dudq 嗲声嗲气
dudr 独断
duds 读懂 独栋
dudu 嘟嘟 肚肚 笃笃 读读
dudv 登山队
dudw 读得
dudy 渡
dudz 肚兜
dued 待时而动
duer 毒饵 第十二
duet 第十二条
duf 毒
dufa 读法
duff 多少分
dufj 大煞风景 毒贩 毒犯
dufm 毒
dufu 督抚 督府 杜甫
dug 度 髑
duge 多少个 镀铬
dugi 髑
dugo 度过 渡过 读过
dugr 大使馆
dugs 督工
dugu 独孤
dugv 赌鬼
dugx 大傻瓜
dugy 赌棍 度
duh 黩
duhd 毒害 渡海 黩
duhe 渡河
duhf 妒恨
duhh 刀山火海 独行
duhj 单身汉
duhl 大事化小，小事化了 大事化小小事化了
duho 妒火
duhv 都会
duhx 大事化小 毒化
duhy 大受欢迎
duhz 到时候 笃厚 读后
dui 独唱
duia 督察 督查
duib 滴水成冰
duie 堵车
duig 赌城 读成
duih 赌场 大商场 大市场 独唱 滴水成河
duij 点石成金
duil 独创 独闯
duim 大水冲了龙王庙
duir 渡船
duis 毒虫 蠹虫
duiu 独处 滴水穿石 读出
duj 镀 电视剧
dujb 镀金
dujh 大声疾呼
duji 妒忌 大事记 大师级 毒计 毒剂 电视机 多少级 打手机 妒嫉
dujl 渡江
dujm 短时间 毒箭 杜健 段时间
dujn 短时间内
dujp 堵截 大世界 第十届
dujq 毒酒
dujr 杜鹃
dujt 杜绝 独角
duju 独具 董事局 堵车 地税局 电视剧 电视柜 赌具 赌局 独居 刀山剑树
dujx 独家 度假 渡假
dujy 镀 毒菌 督军
duk 赌 嘟
duka 读卡
duke 嘟 赌客 杜克
dukf 独守空房
dukh 杜康
dukk 董事会
duko 赌
dukz 渡口
dul 都
dula 毒辣
duld 读来
dule 读了 都
duli 独立 肚里 电视里 独力
dulj 独揽
dull 肚量 度量
dulm 电闪雷鸣
duln 当上了 读了
dulq 毒瘤
dulu 嘟噜
duly 渡轮 独轮
dum 杜 椟 阇
duma 杜马
dumd 椟
dumf 独门
dumn 独苗 读秒
dumo 镀膜 打什么 阇
dumt 杜
dumu 杜牧
dun 妒 犊 姤
dund 犊
dunh 嘟囔 妒
duni 迪士尼
dunj 肚腩
dunk 姤
dunl 多少年来
dunm 多少年
dunq 多少年前
duns 嘟哝
duo 肚 睹
duoo 睹
duot 肚
dup 牍
dupb 毒品
dupd 牍
dupi 肚皮
dupj 读盘 读书破万卷
dupk 低水平
dupm 电视片
dupn 打水漂
dupu 读谱
dupv 大事铺张
duq 独
duqi 赌气 肚脐 毒气 定时器 第十七 独
duqm 赌钱 多少钱
duqn 渡桥 杜桥
duqq 赌球
duqt 第十七条
duqu 读取 独善其身 顶上去 度曲
duqx 电视卡 读卡
dur 多少人
durf 当事人 多少人 多数人 读书人
duri 度日
duru 低收入 读入
durv 低收入者
dus 堵塞
dusd 大师赛 堵塞 赌赛
duse 堵塞
dusi 毒死 第十四
dusj 第十三
dusq 大势所趋
duss 读诵
dusu 毒素
dusw 大失所望
dut 堵
duta 电视塔
dutd 电视台
dute 独特
duti 独体
dutm 多少天
dutn 第十条
duto 堵
duts 肚痛
dutu 赌徒 大书特书 读图
dutx 大赦天下 丹书铁券
duty 独吞
dutz 大石头 大舌头
duu 督
duua 毒杀
duue 毒蛇 毒舌
duuf 独身 赌神 度身
duug 独生 赌圣
duui 都市 督师 笃实
duuj 独山
duuo 督 度数 读数
duuq 多少事情
duuu 读书 赌输
duuz 毒手 独守
duv 笃 厾
duvd 赌债
duve 读者 当事者
duvf 毒针 督阵
duvh 董事长 第十章
duvi 渎职 笃志
duvj 独占 董事长兼 督战
duvm 笃
duvo 赌桌 读着
duvq 多事之秋
duvr 杜撰
duvs 厾
duvu 赌注 堵住 动手术
duvz 赌咒
duw 读完
duwf 但说无妨
duwh 赌王
duwj 读完
duwo 赌窝
duwq 道是无晴却有晴
duwu 读物 毒物 独舞 第十五
duww 杜威
duwy 多说无益
dux 毒性
duxb 堵心 镀锌 笃信
duxi 对手戏 镀锡
duxk 毒性
duxl 独享
duxm 独显 毒腺
duxn 毒枭
duxp 读写 东施效颦
duxq 低声下气
duxs 大师兄
duxt 督学
duy 读
duya 毒牙
duyb 读音 毒瘾 镀银
duyc 毒药
duyd 多少有点 读
duye 毒液 大少爷
duyg 都是一个
duyi 毒蛇 第十一 妒意
duyj 读研 独眼
duyq 大势已去
duyr 独院
duyv 独树一帜
duyw 都是因为
duyx 多少有些
duyy 都是一样
duyz 独有 赌友
duz 独自
duzd 堵在
duzi 肚子 独自 独资 犊子
duzn 独生子女
duzo 独坐
duzq 东山再起
duzv 嘟嘴 堵嘴
duzy 独尊
duzz 独奏
dv 对 堆 兑 队 敦 追 怼 碓 镦 祋
dva 对岸
dvaa 对啊
dvan 对岸
dvat 独占鳌头
dvay 斗志昂扬
dvb 兑
dvba 对吧
dvbc 对保
dvbd 对白
dvbe 兑
dvbf 对本
dvbi 对比
dvbj 对半 党支部书记
dvbm 对边
dvbn 队标 对表 对标 对照表
dvbu 队部 对不 对簿 党支部
dvc 对此
dvce 对策
dvci 对此 对词
dvco 对错
dvcy 堆存
dvd 都知道
dvda 对答 对打
dvdc 都知道 对倒
dvdd 对待
dvdg 对等
dvdh 大智大慧
dvdi 对敌
dvdj 动辄得咎 对账单
dvdn 对调
dvdo 堆垛
dvdp 堆叠
dvdv 打着灯笼找不着 对对
dvdy 斗智斗勇
dve 队
dvee 对俄
dver 队 对儿
dvf 大丈夫
dvff 对分
dvfh 对方 堆放
dvfr 洞中方一日
dvfu 对付 队服 大丈夫 兑付
dvfv 大政方针
dvfw 堆肥
dvg 对着干
dvge 对歌 队歌
dvgj 对着干
dvgl 对光
dvgo 对过
dvgs 对攻 对公
dvgz 对勾
dvh 大众化
dvhc 对号
dvhd 地中海
dvhj 对焊 对撼
dvhq 大中华区
dvhr 兑换 对换
dvht 大展宏图
dvhu 打招呼
dvhv 大智慧
dvhx 对话 对华 大中华 大众化
dvi 对称
dvif 对称
dvig 对称 堆成
dvih 对唱 堆场
dvis 对冲
dvj 镦
dvjb 对襟 大长今
dvjg 党政机关
dvji 堆积
dvjk 对劲
dvjl 兑奖 对奖 对讲
dvjn 对焦 东正教
dvjp 对接 对戒 对价
dvjq 对酒
dvjt 对决 对角
dvju 对局 地震局
dvjw 镦
dvjx 对家
dvjy 党政军
dvk 对抗
dvkd 对开
dvkh 对抗
dvkj 对砍 对看
dvkr 兑款
dvks 对空
dvkz 对口
dvl 对了
dvle 对了
dvli 对立 队里 队礼 堆里 点这里
dvlj 地址栏
dvlm 对联
dvln 对了
dvlp 队列
dvlq 对流
dvlu 对路
dvlw 对垒
dvlz 打肿脸充胖子
dvm 对面
dvma 对吗 对骂
dvmf 对门 东直门
dvmj 堆满
dvmm 对面
dvmo 对么
dvmw 对美
dvnb 对您
dvni 对你 等着你
dvnm 淡妆浓抹
dvnw 对内 队内
dvou 对偶
dvp 祋
dvpb 豆制品
dvpy 祋
dvq 等着瞧
dvqg 大张旗鼓
dvqi 对齐 队旗 对其 堆砌 堆起
dvqj 洞烛其奸
dvqn 等着瞧
dvqu 兑取
dvqy 断章取义
dvr 对人
dvrf 对人
dvri 对日
dvry 大智若愚
dvsi 大钟寺
dvt 堆
dvta 对它 对她 对他
dvtd 对台
dvtf 堆 大张挞伐
dvti 德智体
dvtm 对天
dvtn 对调
dvtz 对头 低着头
dvu 碓
dvua 对杀
dvuf 碓
dvug 大专生
dvuh 对上
dvui 对视 对事 对时
dvuo 对数
dvuu 对数 大张声势
dvuv 对谁
dvuw 对谁
dvux 斗折蛇行
dvuz 对手
dvv 对账
dvvc 对照
dvvd 对侧
dvve 对着 对折
dvvf 对阵
dvvg 对症 对正 对证 断章摘句
dvvh 队长 对账 对仗
dvvi 对峙 对质
dvvj 对战 堆栈
dvvo 对着
dvvr 对转 大中专
dvvs 队中
dvvu 大蜘蛛
dvvv 大中至正
dvvw 对这
dvvy 对准 对症之药 地主之谊
dvw 敦
dvwd 对外
dvwg 敌众我寡
dvwk 当之无愧
dvwo 对我
dvwu 队伍 动植物
dvww 敦 对味 对位
dvwx 得之我幸
dvx 大中型
dvxb 对新
dvxi 党主席
dvxj 胆战心惊
dvxk 队形 对性 大中型
dvxl 对象
dvxm 兑现
dvxn 对校 大中小 堆笑
dvxp 大闸蟹
dvxt 东征西讨 地质学
dvxw 东张西望
dvxx 对虾
dvxy 对症下药 斗转星移
dvy 怼 对
dvya 对呀
dvyb 对饮
dvyc 对
dvyh 党中央 斗折蛇行
dvyi 对弈 队医 对已 对伊 代之以
dvyj 对眼 弹指一挥间
dvyk 对应
dvyq 动之以情
dvyr 队员
dvyu 对于
dvyx 大专院校 怼
dvyz 队友
dvz 追
dvzi 对子
dvzk 追
dvzu 对照组
dvzv 渎职罪
dw 得
dwbi 得比
dwbk 得病
dwbt 大为不同
dwbu 得不
dwci 第五次
dwcl 断无此理
dwdc 得到 得道
dwdd 吊袜带 第五代
dwdf 大卫杜夫
dwdh 得当
dwdl 独往独来
dwdo 得多
dwdw 得得
dwez 达斡尔族
dwfa 得法
dwff 得分
dwgg 得更
dwgo 得过
dwhc 得好
dwhf 得很
dwhl 得慌
dwi 得
dwic 得
dwig 得逞
dwiu 得出
dwj 端午节
dwjk 得劲
dwjl 得奖
dwjm 得见
dwjp 端午节 第五届
dwjq 得救
dwju 读万卷书
dwjx 帝王将相
dwk 吊胃口
dwkk 得快
dwkz 吊胃口 倒胃口
dwl 都忘了
dwld 得来
dwle 都忘了
dwli 得力 得利
dwln 得了
dwlu 对我来说
dwmk 得名
dwpm 得便
dwpn 得票
dwqi 得起
dwqu 得去
dwrf 得人
dwse 得瑟
dwsi 戴维斯
dwsr 睹物思人
dwtd 大舞台
dwti 大问题 得体
dwtn 第五条
dwug 得胜
dwuh 得上
dwui 得时 得势 得失
dwuj 党委书记
dwuo 得数
dwuz 得手
dwv 当务之急
dwvd 弹丸之地
dwvh 第五章
dwvi 得志 得知
dwvj 当务之急
dwvu 得住 得主
dww 大无畏
dwww 大无畏
dwxd 东歪西倒
dwxf 弹无虚发
dwxi 得悉
dwxk 动物性
dwxm 得先 得闲
dwy 动物园
dwyi 得以 得宜 得意 得益
dwyr 动物园
dwyt 对我说
dwyz 得有
dwzv 得罪
dx 东西 嗲
dxal 大兴安岭
dxb 大小便
dxbb 多行不义必自毙
dxbd 大雄宝殿
dxbg 打小报告
dxbj 笃学不倦
dxbk 大卸八块
dxbm 大小便
dxbu 大学毕业生
dxby 大学毕业
dxcc 灯心草
dxd 单行道
dxdb 大喜大悲
dxdc 单行道
dxdh 涤瑕荡秽
dxe 店小二
dxer 店小二
dxf 东西方
dxfh 东西方
dxfv 断线风筝
dxfw 大小非
dxg 胆小鬼
dxgj 电线杆
dxgu 大峡谷
dxgv 胆小鬼
dxgw 大喜过望
dxh 都喜欢
dxhc 低消耗
dxhf 旦夕祸福
dxhr 都喜欢
dxi 大学城
dxig 大学城 地下城 多线程
dxj 电信局
dxjh 短小精悍
dxji 地县级
dxjn 妒贤嫉能
dxjp 大小姐
dxjq 大厦将倾
dxjt 大相径庭
dxju 电信局
dxk 嗲
dxke 多学科
dxkx 嗲
dxl 掉下来
dxld 掉下来
dxli 大学里
dxlv 电解铝
dxm 大熊猫
dxmc 大熊猫
dxmm 刀削面
dxmu 大项目
dxn 倒行逆施
dxnb 东西南北
dxnu 倒行逆施
dxpk 邓小平
dxpm 大小便
dxpu 胆小怕事
dxq 待下去
dxqd 大行其道
dxqj 大学期间
dxqu 独行其是 大兴区 掉下去
dxqy 大型企业
dxrs 灯芯绒 灯心绒
dxru 胆小如鼠
dxs 单相思
dxsd 大写锁定 单相思
dxsi 单相思
dxsp 打小算盘
dxth 低血糖
dxtm 大兴土木
dxtp 地下铁
dxtq 敌忾同仇
dxtu 地形图
dxtz 低下头
dxu 大学生
dxug 大学生
dxuh 大学生活
dxui 地下室 多小时
dxut 大显神通
dxuu 大显身手
dxuv 等闲视之 地下水
dxv 等闲之辈
dxvb 等闲之辈
dxvi 电解质
dxvj 旦夕之间
dxvp 断袖之癖
dxw 定心丸
dxwj 定心丸
dxx 大小写
dxxi 短消息 短信息
dxxj 带薪休假
dxxk 大猩猩
dxxp 大小写
dxxy 大学校园
dxy 大西洋
dxye 电信业
dxyh 大西洋
dxyu 得心应手
dxz 东乡族
dxzd 但现在
dxzu 东乡族
dxzv 到现在为止
dy 顿 墩 吨 蹲 敦 囤 钝 盾 遁 沌 炖 砘 礅 盹 趸 坉 忳 惇 楯 蹾
dyb 第一遍
dyba 大洋彼岸
dybc 大言不惭
dybd 第一百
dybf 东亚病夫 第一本
dybi 第一笔
dybj 电影版 第一版
dybk 大宴宾客
dybl 倒也罢了
dybm 第一遍
dybu 第一步 墩布 第一部
dyby 大有裨益
